MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
2388721000000111	7000000	451L	451L.00	Acute kidney injury warning stage	1007921000000107	2551601000000111	34
2204191000000110	300000	K04-2	K04..12	Acute kidney injury	14669001	2204191000000110	32
354406016	200000	K060	K060.00	Renal impairment	236423003	354406016	32
460091000006111	100000	K04	K04..00	Acute renal failure	14669001	2920634011	32
86957016	100000	K01	K01..00	Nephrotic syndrome	52254009	86957016	32
2206791000000119	70000	K04C	K04C.00	Acute kidney injury stage 1	851931000000107	2206791000000119	32
354407013	70000	K060-1	K060.11	Impaired renal function	236423003	354407013	32
259688011	60000	4512	4512.00	Renal function tests abnormal	167180005	259688011	34
2206811000000118	20000	K04D	K04D.00	Acute kidney injury stage 2	851941000000103	2206811000000118	32
2206831000000114	20000	K04E	K04E.00	Acute kidney injury stage 3	851951000000100	2206831000000114	32
303943013	20000	K08	K08..00	Impaired renal function disorder	197663003	303943013	32
459420012	20000	4519	4519.00	Deteriorating renal function	314983004	459420012	34
619541000006116	10000	7L1A-1	7L1A.11	Dialysis for renal failure	265764009	394640016	32
354320010	10000	K03-2	K03..12	Nephropathy	90708001	150322011	32
303907019	10000	K03z	K03z.00	Glomerulonephritis	36171008	60355017	32
303826014	6000	K011	K011.00	Nephrotic syndrome with membranous glomerulonephritis	197590001	303826014	32
304058013	5000	K0z	K0z..00	Nephritis, nephrosis and nephrotic syndrome NOS	90708001	150315015	32
677951000006111	5000	K03	K03..00	Nephritis	52845002	87940013	32
354417015	5000	K0E	K0E..00	Acute-on-chronic renal failure	236433006	354417015	32
303916015	4000	K04z	K04z.00	Acute renal failure NOS	14669001	2920634011	32
47940012	4000	K08y5	K08y500	Acute interstitial nephritis	28637003	47940012	32
303806010	3000	K0	K0...00	Nephritis, nephrosis and nephrotic syndrome	197577008	303806010	32
678061000006111	3000	K02-2	K02..12	Nephropathy - chronic	90708001	150322011	32
303855018	3000	K01z	K01z.00	Nephrotic syndrome NOS	52254009	86957016	32
396706011	3000	K013	K013.00	Nephrotic syndrome with minimal change glomerulonephritis	266549004	396706011	32
303960015	3000	K08z	K08z.00	Impaired renal function disorder NOS	197663003	303943013	32
303875010	3000	K031	K031.00	Membranous glomerulonephritis	77182004	128137019	32
303905010	3000	K03y2	K03y200	Interstitial nephritis	28689008	48036015	32
481692010	2000	SK08	SK08.00	Acute renal failure due to rhabdomyolysis	23697004	481692010	32
396707019	2000	K03-1	K03..11	Nephritis and nephropathy unspecified	52845002	87940013	32
677941000006114	2000	K02-1	K02..11	Nephritis - chronic	197707007	304004016	32
303833014	2000	K015	K015.00	Nephrotic syndrome, focal and segmental glomerular lesions	197594005	303833014	32
460151000006118	2000	K040	K040.00	Acute tubular necrosis	23697004	481694011	32
14415811000006111	1000	^ESCT1441581		Acute kidney injury stage 1	733137002	1945761000000113	32
2645796013	1000	K0430	K043000	Acute renal failure due to ACE inhibitor	422593004	2645796013	5
2732241000006113	1000	^ESCTAC273224		Acute renal failure syndrome	14669001	24910011	32
886621000006112	1000	K03-99	K03..99	Nephritis NOS	52845002	886621000006112	32
303834015	1000	K016	K016.00	Nephrotic syndrome, diffuse membranous glomerulonephritis	197595006	303834015	32
461420012	900	ZVu3G	ZVu3G00	Dialysis procedure	108241001	172680015	32
429641000006113	800	Kyu1E	Kyu1E00	Tubulointerstitial nephritis	428255004	2694843016	32
677461000006115	800	K017	K017.00	Nephrotic syndrome, diffuse mesangial proliferative glomerulonephritis	197596007	303835019	32
677561000006119	800	K01x4	K01x400	Nephrotic syndrome in systemic lupus erythematosus	68815009	114310015	32
354413016	800	K043	K043.00	Acute drug-induced renal failure	236429004	354413016	5
303846016	700	K01x1	K01x100	Nephrotic syndrome in diabetes mellitus	197605007	303846016	32
303915016	700	K04y	K04y.00	Other acute renal failure	14669001	2920634011	32
349998013	600	7L1A3	7L1A300	Haemofiltration	233581009	349998013	32
303845017	600	K01x0	K01x000	Nephrotic syndrome in amyloidosis	197604006	303845017	32
14415821000006115	500	^ESCT1441582		Acute kidney injury stage 2	733138007	1945771000000118	32
14415831000006117	500	^ESCT1441583		Acute kidney injury stage 3	733139004	1945781000000116	32
1705781000006113	500	K044	K044.00	Acute renal failure due to obstruction	429489008	2694055011	32
303839013	500	K01B	K01B.00	Nephrotic syndrome, diffuse crescentic glomerulonephritis	197600002	303839013	32
303832016	400	K014	K014.00	Nephrotic syndrome, minor glomerular abnormality	197593004	303832016	32
677471000006110	400	K019	K019.00	Nephrotic syndrome, diffuse mesangiocapillary glomerulonephritis	197598008	303837010	32
