SnomedCTConceptId	description	medcodeid	term	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTDescriptionId	Release	EmisCodeCategoryId
140031000000000	Acute nontraumatic kidney injury	8043971000006111	acute nontraumatic kidney injury	NA	NA	NA	NA	NA	NA	NA
140031000000000	Acute nontraumatic kidney injury	8043981000006114	nontraumatic aki (acute kidney injury)	NA	NA	NA	NA	NA	NA	NA
14669001	Acute renal failure syndrome	303915016	other acute renal failure	700	K04y	K04y.00	Other acute renal failure	2920634011	NA	32
14669001	Acute renal failure syndrome	303916015	acute renal failure nos	4000	K04z	K04z.00	Acute renal failure NOS	2920634011	NA	32
14669001	Acute renal failure syndrome	305191012	[x]other acute renal failure	400	Kyu20	Kyu2000	[X]Other acute renal failure	2920634011	NA	32
14669001	Acute renal failure syndrome	1221119015	arf - acute renal failure	100	K04-1	K04..11	ARF - Acute renal failure	1221119015	NA	32
14669001	Acute renal failure syndrome	460091000006111	acute renal failure	100000	K04	K04..00	Acute renal failure	2920634011	NA	32
14669001	Acute renal failure syndrome	2204191000000110	acute kidney injury	300000	K04-2	K04..12	Acute kidney injury	2204191000000110	NA	32
14669001	Acute renal failure syndrome	2732241000006113	acute renal failure syndrome	1000	^ESCTAC273224		Acute renal failure syndrome	24910011	NA	32
14669001	Acute renal failure syndrome	2732281000006119	aki - acute kidney injury	10	^ESCTAK273228		AKI - acute kidney injury	2204201000000112	NA	32
197585004	Acute diffuse nephritis	303819014	acute diffuse nephritis	100	K00y3	K00y300	Acute diffuse nephritis	303819014	NA	32
197590001	Nephrotic syndrome with membranous glomerulonephritis	303826014	nephrotic syndrome with membranous glomerulonephritis	6000	K011	K011.00	Nephrotic syndrome with membranous glomerulonephritis	303826014	NA	32
197595006	Nephrotic syndrome, diffuse membranous glomerulonephritis	303834015	nephrotic syndrome, diffuse membranous glomerulonephritis	1000	K016	K016.00	Nephrotic syndrome, diffuse membranous glomerulonephritis	303834015	NA	32
197720005	Isolated proteinuria with specified morphological lesion, diffuse membranous glomerulonephritis	712841000006115	isolated proteinuria with specified morphological lesion, diffuse membranous glomerulonephritis	2	K0A42	K0A4200	Isolated proteinuria with specified morphological lesion, diffuse membranous glomerulonephritis	304017018	NA	32
236413007	Membranous glomerulonephritis - stage I	5093831000006119	membranous glomerulonephritis - stage i	1	^ESCTME509383		Membranous glomerulonephritis - stage I	354388017	NA	31
236416004	Membranous glomerulonephritis - stage IV	5093891000006115	membranous glomerulonephritis - stage iv	3	^ESCTME509389		Membranous glomerulonephritis - stage IV	354395014	NA	31
236424009	Acute renal impairment	5094041000006117	acute renal impairment	20	^ESCTAC509404		Acute renal impairment	354408015	NA	31
236428007	Acute kidney injury due to nephrotoxicity	5094071000006113	nephrotoxic acute renal failure	9	^ESCTNE509407		Nephrotoxic acute renal failure	354412014	NA	32
236429004	Acute drug-induced renal failure	354413016	acute drug-induced renal failure	800	K043	K043.00	Acute drug-induced renal failure	354413016	NA	5
236433006	Acute-on-chronic renal failure	354417015	acute-on-chronic renal failure	5000	K0E	K0E..00	Acute-on-chronic renal failure	354417015	NA	32
236433006	Acute-on-chronic renal failure	5094141000006118	acute on chronic renal failure	5	^ESCTAC509414		Acute on chronic renal failure	3037716017	NA	32
236514003	Toxic nephropathy	304054010	toxic nephropathy	30	K0C4	K0C4.00	Toxic nephropathy	354531018	NA	5
236514003	Toxic nephropathy	429141000006118	[x]toxic nephropathy, not elsewhere classified	50	Kyu15	Kyu1500	[X]Toxic nephropathy, not elsewhere classified	354531018	NA	5
236514003	Toxic nephropathy	678091000006115	nephropathy induced by unspec drug medicament or biol subs	30	K0C2	K0C2.00	Nephropathy induced by unspec drug medicament or biol subs	354531018	NA	5
264536006	Interstitial nephritis	5477271000006112	interstitial nephritis	20	^ESCTIN547727		Interstitial nephritis	393007018	NA	31
269301005	Renal failure as a complication of care	403109016	renal failure as a complication of care	400	SP154	SP15400	Renal failure as a complication of care	403109016	NA	32
28637003	Acute tubulointerstitial nephritis	47940012	acute interstitial nephritis	4000	K08y5	K08y500	Acute interstitial nephritis	47940012	NA	32
28637003	Acute tubulointerstitial nephritis	1225985011	ain - acute interstitial nephritis	100	K08y5-1	K08y511	AIN - Acute interstitial nephritis	1225985011	NA	32
