MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
317494018	50000	R0771	R077100	Loose stools	398032003	1786047017	27
317462011	10000	R070z	R070z00	[D]Nausea and vomiting NOS	16932000	28667013	32
451469011	1000	R0704	R070400	[D]Projectile vomiting	8579004	15155012	32
317459013	900	R0702	R070200	[D]Emesis	422400008	2643931013	32
317458017	500000	R0701	R070100	Vomiting	422400008	2643931013	32
317457010	200000	R0700	R070000	[D]Nausea	422587007	2643930014	27
317456018	200000	R070	R070.00	Nausea and vomiting	16932000	28667013	32
79989019	2000	Q4833	Q483300	Vomiting in newborn	48000002	79989019	32
1816481000006111	700	J6A	J6A..00	Gastroenteritis and colitis of unknown origin	25374005	42550011	32
619781000006115	7000	J4zz-1	J4zz.11	Diarrhoea - presumed non-infectious	25374005	42550011	32
72962011	3000	J43-2	J43..12	Enterocolitis	43752006	72962011	32
42550011	2000000	J43-1	J43..11	Gastroenteritis	25374005	42550011	32
302640019	1000	J162z	J162z00	Persistent vomiting NOS	196746003	302636011	32
302638012	20000	J1620	J162000	Cyclical vomiting	18773000	31654014	32
302636011	10000	J162	J162.00	Persistent vomiting	196746003	302636011	32
301423018	2000	H27y1	H27y100	Influenza with gastrointestinal tract involvement	195929004	301423018	32
2015181000006112	1000	EMISNQNO180		Norovirus infection	721763002	3325976013	32
982731000006112	1000	EMISCDI58		Diarrhoea/loose stools	982731000006108	982731000006112	27
854661000006115	600	EGTON6		Diarrhoea & vomiting	854661000006104	854661000006115	27
377011000006119	10000	Ayu0H	Ayu0H00	Gastroenteritis presumed infectious	57419008	95492012	32
287995017	20	Ayu0G	Ayu0G00	[X]Other specified intestinal infections	266071000	395311019	32
287994018	400	Ayu0F	Ayu0F00	Viral and ill-defined gastrointestinal infections	286870008	426349018	32
287993012	10000	Ayu0E	Ayu0E00	Viral enteritis	78420004	130136015	32
287990010	200	Ayu0B	Ayu0B00	Amoebic infection	111910009	179062014	32
287987016	200	Ayu0A	Ayu0A00	Amoebic infection	111910009	366317015	32
287986013	9	Ayu09	Ayu0900	[X]Bacterial food-borne intoxication, unspecified	66107000	109787018	32
287985012	9	Ayu08	Ayu0800	[X]Other specified bacterial food-borne intoxications	66107000	109787018	32
287984011	200	Ayu07	Ayu0700	Bacterial enteritis	75375008	125187010	32
287983017	30	Ayu06	Ayu0600	[X]Other specified bacterial intestinal infections	312108008	455772010	32
287982010	1000	Ayu05	Ayu0500	[X]Shigellosis, unspecified	36188001	60387019	32
287981015	100	Ayu04	Ayu0400	[X]Other shigellosis	36188001	60387019	32
287980019	2000	Ayu03	Ayu0300	[X]Salmonella infection, unspecified	302231008	443816015	32
287979017	300	Ayu02	Ayu0200	[X]Other specified salmonella infections	302231008	443816015	32
287977015	50	Ayu00	Ayu0000	[X]Cholera, unspecified	63650001	105789012	32
347485016	3000	AD670	AD67000	Acanthamoeba keratitis	231896005	347485016	32
287944019	100	AD67	AD67.00	Acanthamoebiasis	49649001	82698011	32
123933019	4000	A78y1-1	A78y111	Winter vomiting disease	74621002	123932012	32
123932012	700	A78y1	A78y100	Epidemic vomiting syndrome	74621002	123932012	32
633521000006119	10000	A3B4-1	A3B4.11	E. coli infection	71057007	501779012	32
501778016	30000	A3B4	A3B4.00	Escherichia coli infection	71057007	501778016	32
286213013	30000	A0z	A0z..00	Intestinal tract infectious disease NOS	266071000	395311019	32
286212015	60	A0y	A0y..00	Other specified infectious diseases of intestinal tract	266071000	395311019	32
878891000006118	500	A0-99	A0...99	Specific GIT infectious dis.	266071000	878891000006118	32
785691000006115	3000	A08z	A08z.00	Ill-defined intestinal infection	20547008	34583019	32
878931000006110	8000	A08-99	A08..99	Viral + ill-defined GIT inf.	286870008	878931000006110	32
360012013	6000	A083-2	A083.12	Infantile gastroenteritis	240332005	360012013	32
619761000006113	100000	A083-1	A083.11	Infectious diarrhoeal disease	19213003	32379017	32
72144015	200000	A083	A083.00	Diarrhoea of presumed infectious origin	43240000	72144015	32
286202010	40000	A082z	A082z00	Infectious diarrhoea NOS	19213003	32379017	32
179018017	30000	A0821-1	A082111	Viral gastroenteritis	111843007	179018017	32
86701000006110	80000	A082-1	A082.11	Traveler's diarrhoea	11840006	444525010	32
201288012	900	A0821	A082100	Epidemic diarrhoea	86615009	201288012	32
479228018	20000	A082	A082.00	Infectious diarrhoea	19213003	479228018	32
572061000006117	500	A081z	A081z00	Colitis, enteritis and gastroenteritis presumed infect NOS	266081001	395323013	32
1494813012	400000	A0812	A081200	Gastroenteritis - presumed infectious origin	57419008	1494813012	32
353405010	2000	A081-1	A081.11	Suspected infectious enteritis	439597005	2794661014	32
645721000006113	40000	A0811	A081100	Enteritis presumed infectious	30140009	50432016	32
1495457013	10000	A0810	A081000	Colitis - presumed infectious origin	79099006	1495457013	32
473395016	40000	A08-1	A08..11	Gastric flu	12463005	473395016	32
395323013	1000	A081	A081.00	Colitis, enteritis and gastroenteritis presumed infectious	266081001	395323013	32
286182018	700	A080z	A080z00	Gastrointestinal infection	715852004	3303930018	32
878941000006117	90000	A0803-99	A080399	Gastroenteritis - viral + NOS	12463005	878941000006117	32
21441016	400000	A0803	A080300	Infectious gastroenteritis	12463005	21441016	32
91741012	10000	A0802	A080200	Infectious enteritis	55184003	91741012	32
65964017	4000	A0801	A080100	Infectious colitis	39341005	65964017	32
286180014	600	A080	A080.00	Infectious colitis, enteritis and gastroenteritis	715852004	3303929011	32
1222445017	100000	A08	A08..00	Ill-defined intestinal tract infections	20547008	1222445017	32
799701000006116	200	A07z	A07z.00	Infectious disease of digestive tract	128398001	206697016	32
451427012	20000	A07y1	A07y100	Infantile viral gastroenteritis	308119005	451427012	32
61191000006113	1000000	A07y0	A07y000	Viral gastroenteritis	111843007	179018017	32
799691000006116	400	A07y	A07y.00	Gastrointestinal tract infection specified organism NEC	128398001	206697016	32
286173012	3000	A076z	A076z00	Enteritis due to specified virus NOS	266079003	395321010	32
1174781000000115	5000	A0763	A076300	Enteritis due to Norovirus	445152004	2871582015	32
365356015	40000	A076-2	A076.12	Viral vomiting	111843007	365356015	32
286172019	20000	A0762	A076200	Enteritis due to rotavirus	186150001	286172019	32
365357012	30000	A076-1	A076.11	Viral diarrhoea	111843007	365357012	32
1227968013	1000	A0761	A076100	Enteritis due to enterovirus	32580004	1227968013	32
501712011	900	A0760	A076000	Enteritis due to adenovirus	70880006	501712011	32
395321010	8000	A076	A076.00	Enteritis due to specified virus	266079003	395321010	32
286165015	4000	A075	A075.00	Unspecified bacterial enteritis	75375008	125187010	32
286164016	100	A074z	A074z00	Other specified gastrointestinal tract infections NOS	12463005	21441016	32
286163010	100	A074y	A074y00	Other specified other gastrointestinal infection	12463005	21441016	32
